"Date","Price","Open","High","Low","Vol.","Change %"
"10/17/2021","35,677.02","35,221.02","35,765.02","35,035.94","1.52B","1.08%"
"10/10/2021","35,294.76","34,723.79","35,320.97","34,115.10","1.56B","1.58%"
"10/03/2021","34,746.25","34,312.96","34,975.19","33,821.58","1.55B","1.22%"
"09/26/2021","34,326.46","34,739.27","35,061.12","33,785.54","1.75B","-1.36%"
"09/19/2021","34,798.00","34,459.72","34,879.78","33,613.03","1.59B","0.62%"
"09/12/2021","34,584.88","34,665.50","34,990.36","34,510.30","1.85B","-0.07%"
"09/05/2021","34,607.72","35,373.24","35,373.24","34,599.61","1.15B","-2.15%"
"08/29/2021","35,369.09","35,471.80","35,510.71","35,269.40","1.34B","-0.24%"
"08/22/2021","35,455.80","35,160.97","35,501.14","35,160.97","1.20B","0.96%"
"08/15/2021","35,120.08","35,490.83","35,631.19","34,690.25","1.50B","-1.11%"
"08/08/2021","35,515.38","35,229.67","35,610.57","35,041.24","1.17B","0.87%"
"08/01/2021","35,208.51","34,968.56","35,246.79","34,714.33","1.20B","0.78%"
"07/25/2021","34,935.47","35,055.86","35,171.52","34,871.13","1.45B","-0.36%"
"07/18/2021","35,061.55","34,528.48","35,095.33","33,741.76","1.78B","1.08%"
"07/11/2021","34,687.85","34,836.75","35,090.01","34,647.82","1.62B","-0.52%"
"07/04/2021","34,870.16","34,790.16","34,893.72","34,145.59","1.29B","0.24%"
"06/27/2021","34,786.35","34,428.10","34,821.93","34,186.13","1.44B","1.02%"
"06/20/2021","34,433.84","33,312.07","34,501.02","33,312.07","1.60B","3.44%"
"06/13/2021","33,290.08","34,472.52","34,472.52","33,271.93","1.85B","-3.45%"
"06/06/2021","34,479.60","34,766.20","34,820.91","34,328.65","1.38B","-0.80%"
"05/30/2021","34,756.39","34,584.19","34,849.32","34,334.41","1.13B","0.66%"
"05/23/2021","34,529.45","34,253.87","34,631.11","34,253.87","1.61B","0.94%"
"05/16/2021","34,207.84","34,375.29","34,415.48","33,473.80","1.58B","-0.51%"
"05/09/2021","34,382.13","34,785.27","35,091.56","33,555.22","1.83B","-1.14%"
"05/02/2021","34,777.76","33,904.89","34,811.39","33,765.68","1.59B","2.67%"
"04/25/2021","33,874.85","34,044.23","34,148.94","33,744.28","1.72B","-0.50%"
"04/18/2021","34,043.49","34,182.38","34,182.38","33,687.01","1.66B","-0.46%"
"04/11/2021","34,200.67","33,775.06","34,256.75","33,545.84","1.65B","1.18%"
"04/04/2021","33,800.60","33,222.38","33,810.87","33,222.38","1.55B","1.95%"
"03/28/2021","33,153.21","33,087.55","33,259.00","32,905.13","1.40B","0.24%"
"03/21/2021","33,072.88","32,601.82","33,098.83","32,071.41","1.97B","1.36%"
"03/14/2021","32,627.97","32,798.84","33,227.78","32,505.07","2.41B","-0.46%"
"03/07/2021","32,778.64","31,512.15","32,793.32","31,512.15","2.12B","4.07%"
